Row #,Question Type,Question Text,Acceptable Options,Answer Given
0,No questionnaire question for: What specific product line does the company make?,"","",Production of high value products from algae
0,No questionnaire question for: Is there a dividend payment?,"","",None required
0,DropdownQuestion,What is the rate?,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",N/A
0,No questionnaire question for: Is it accruing?,"","",N/A
0,DropdownQuestion,Is it cumulative?,"[""Yes"", ""No""]",N/A
0,DropdownQuestion,Is it a PIK dividend?,"[""Yes"", ""No""]",N/A
0,ChecklistQuestion,What are the conversion rights?,"[""Optional"", ""Mandatory"", ""Qualified IPO""]",None
0,ChecklistQuestion,What are the voting rights and protective provisions?,"[""Shares issued upon conversion of the Preferred, Shares or options, warrants or other rights issued to employees, consultants or directors in accordance with plans, agreements or similar arrangements, but not to exceed a total of [_____] shares issued after he closing date (or such greater number as unanimously approved by the board)"", ""Shares issued upon exercise of options, warrants or convertible securities existing on the closing date"", ""Shares issued as a dividend or distribution on Preferred or for which adjustment is otherwise made pursuant to the certificate of incorporation (e.g. stock splits)"", ""Shares issued in connection with a registered public offering"", ""Shares issued or issuable pursuant to an acquisition of another corporation or a joint venture agreement approved by the board"", ""Shares issued or issuable to banks, equipment lessors or other financial institutions pursuant to debt financing or commercial transactions approved by the board"", ""Shares issued or issuable in connection with any settlement approved by the board"", ""Shares issued or issuable in connection with sponsored research, collaboration, technology license, development, OEM, marketing or other similar arrangements or strategic partnerships approved by the board"", ""Shares issued to suppliers of goods or services in connection with the provision of goods or services pursuant to transactions approved by the board"", ""Shares that are otherwise excluded by consent of holders of a majority of the Preferred""]",Only right to designate directors until additional financing is raised
0,No questionnaire question for: What are the anti-dilution provisions?,"","",None
0,"No questionnaire question for: Are there any unique features or provisions? If so, what are they?","","",None
0,DropdownQuestion,Are there any investment banker fees?,"[""Yes"", ""No""]",None
0,ChecklistQuestion,What is the securities exemption relied upon?,"[""Rule 504(b)(1)(not (i), (ii), or (iii))"", ""Rule 504(b)(1)(i)"", ""Rule 504(b)(1)(ii)"", ""Rule 504(b)(1)(iii)"", ""Rule 505"", ""Rule 506(b)"", ""Rule 506(c)"", ""Securities Act Section 4(a)(5)"", ""Investment Company Act Section 3(c)"", ""Section 3(c)(1)"", ""Section 3(c)(2), Section 3(c)(3)"", ""Section 3(c)(4)"", ""Section 3(c)(5)"", ""Section 3(c)(6)"", ""Section 3(c)(7)"", ""Section 3(c)(8)"", ""Section 3(c)(9)"", ""Section 3(c)(10)"", ""Section 3(c)(11)"", ""Section 3(c)(12)"", ""Section 3(c)(13)"", ""Section 3(c)(14)""]",Rule 506
1,No questionnaire question for: What specific product line does the company make?,"","",Production of high value products from algae
1,NumericQuestion,Pre-Money Valuation,"[""Number""]","$3,000,000.00 "
1,No questionnaire question for: Is there a dividend payment?,"","",None required
1,DropdownQuestion,What is the rate?,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",N/A
