What client is being represented?,What company is being financed or acquired?,What industry is the financed company involved in?,What specific product line does the company make?,What is the amount of financing?,What is the investment stage?,What is the name and location of the lead investors?,What is the class/series of securities sold?,Pre-Money Valuation,Up round or down round?,Is there a dividend payment?,What is the rate?,Is it accruing?,Is it cumulative?,Is it a PIK dividend?,What are the conversion rights?,What is the liquidation preference multiple?,What are the participation rights?,What are the voting rights and protective provisions?,What are the anti-dilution provisions?,"Are there any unique features or provisions? If so, what are they?",What are the legal fees for company counsel?,What are the legal fees for investor counsel?,Are there any investment banker fees?,What is the securities exemption relied upon?,What is the actual closing date?,Who are the attorneys and paralegals involved?,Who is the opposing counsel?
"Algaeon, Inc.","Algaeon, Inc. (Indianapolis, IN)",Biotech,Production of high value products from algae,"$625,000 ",Angel,"Indiana Seed Fund II, LLC, (Indianapolis, IN)",Common Stock,"$2,700,000",Up round,None required,N/A,N/A,N/A,N/A,None,None,None,Only right to designate directors until additional financing is raised,None,None,,"$25,000 ",None,Rule 506,12/12/2012,"Danz, Goodman, Stuart",
"Algaeon, Inc.","Algaeon, Inc. (Indianapolis, IN)",Biotech,Production of high value products from algae,"$775,000 ",Angel,No lead investor,Common Stock,"$3,000,000.00 ",Up round,None required,N/A,N/A,N/A,N/A,None,None,None,1 vote per common share,None,None,,"$15-20,000",None,Rule 506,5/28/2013,"Danz, Goodman, Stuart",
"Animated Dynamics, Inc.","Animated Dynamics, Inc.",Development and commercialization of live-tissue imaging platform technologies,,"$1,800,000.00 (maximum)",VC,Caravel Ventures,Series A Convertible Preferred Stock,"$2,000,000.00 ",,n/a,,,,,1:1 Common Stock,1x the original purchase price plus declared and unpaid dividends,Pro rata in subsequent issuance of equity securities,"Approval of majority of series seed required to (i) adversely change rights of series seed; (ii) redeem/repurchase any capital stock of company; (iii) liquidate/dissolve; (iv) acquire material amount of assets through merger/purchase of all or substantially all of assets of capital stock of another entity; (v) approve any merger, sale of assets or other corporate reorg or acquisition; or (vi) authorize or createnew class/series of shares",n/a,n/a,,"$36,000 ",n/a,506(b),5/31/2016,KEY:  Snively; Sharp; Alvarez ,
"BlueBridge Digital, Inc.","BlueBridge Digital, Inc.",Mobile Application Software,,"$3,000,000.00 new money plus the conversion of $3.75M of convertible promissory notes",VC,"Allos - Carmel, IN; Cultivation Capital - St. Louis, MO",Series A Convertible Preferred Stock,"$9,500,000.00 ",,N/A,,,,,1:1 to Common Stock,1x the original purchase price plus declared and unpaid dividends,n/a,See BD folder for full description.,Broad-based weighted average,n/a,,"$25,000 ",n/a,506(b),3/28/2016,"Camron, Sharp, Alvarez",
"Cardinal Spirits, LLC","Cardinal Spirits, LLC (Bloomington, IN)",Craft distilling,,"$850,000 ",LocalStake platform,,Sale of Series AA Preferred Units,"$1,500,000 (first capital raise)",,None required,,,,,None,1x,Participates pro rata with common after return of 1x capital,non-voting except with respect to amendment/waiver of operating agreement,None,1st closing on LocalStake's broker-dealer platform,,"$35,000 ",None,Rule 504 and Indiana ULOE,8/20/2013,"Capen, Goodman, Stuart",
"Gifted Customer Art, LLC","Gifted Custom Art, LLC (Indianapolis, IN)",Customized art products and design,,"$750,000  in notes subject to warrant",VC,,Common A units with expansion to client's equity incentive plan,"$5,000,000.00 ",,UNKNOWN,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,506(b),6/15/2016,"KEY:  Camron, Brittney, Pence, Alvarez  ",
"Go Electric, Inc.","Go Electric, Inc. (Anderson, IN)",Smart-grid technologies,,"$4,000,000 ",VC,Lead: GXP Investments (Missouri).  Indiana 21st Centruy Fund also invested,Series A Preferred Stock,"Approx. $6,000,000",,No accruing dividend,,,,,Optional and mandatory,1x the Series A original issue price plus all unpaid dividends,Series A Preferred Stock have uncapped participation rights,"Votes with common on all matters submitted to vote of stockholders, customary Series A protective provisions",Broad-based weighted average anti-dilution,None,,"$35,000 ",None,Rule 506(b),1/26/2016,Goodman,
"Herbert Simon Revocable Trust and The Simon Collective, LLC","Garden Table, LLC (Indianapolis, IN)",Juice café and restaurant,,"Up to $150,000 in preferred e quity and up to an additional $100,000 in a revolving note basis",N/A,,Preferred Units and Secured Revolved Note,"$100,000 ($150,000 investment gets 50% of common equity initially)",,Yes,"5% preferred dividend, 6% interest on note",,,,None,1x liquidation preference for preferred,None,"Votes with common on all matters submitted to vote of members, limited protective provisions",None,Operators have chance to earn up to an additional 9% of the common equity based on perforamnce milestones,,"$10,000 ",None,Rule 506(b),4/30/2014,Goodman,
"Hopebridge, LLC","Hopebridge, LLC",Pediatric home care/therapy,,"$2,440,866.00 (divided in three tranches; the initial closing was for $1,220,443.00)",VC,"SEP Holdings, LLC (Indianapolis, IN)",Series B Convertible Shares,"$4,890,000.00 ",,None,,,,,None,See document 5818317.,None,See document 5818317.,See document 5818317.,n/a,,"$58,774 ",n/a,Rule 506,8/12/2016,"Camron, Sharp",
"Lessonly, Inc.","Lessonly, Inc. (Indianapolis, IN)",Learning automation software,,$5.25M,VC,"OpenView Venture Partners (Boston, MA)",Series A Convertible Preferred Stock,"$15,000,000.00 ",,n/a,,,,,1:1 to Common Stock,1x the original purchase price plus declared and unpaid dividends,n/a,See document 9995712.,broad-based weighted average,n/a,,"$50,000 ",n/a,506(b),3/17/2016,"Camron, Goodman, Sharp, Alvarez",
