Commercial Real Estate Due Diligence,Diligence,Commercial Real Estate,
,,,
Stage,Task/Folder,Task/Document,Description
Title Documents,,,"Copies of the following title and other real property documents with respect to the Property and the equipment, machinery and other property owned or leased by Seller in connection with the Property"
,The deed to Seller /The lease to Seller,,
,"""As-built"" recently dated metes-and-bounds survey showing the following",,
,,complete legal description of the land,
,,location of all easements and rights of ways encumbering or accruing to the benefit of the Property,
,,all encroachments,
,,all dedicated public and private streets and rights of way,
,,"location of all existing improvements including fences, power and telephone lines etc.",
,,location of any easements necessary to bring off-site improvements to the land,
,Site plan or plot plan indicating street frontages,,
,,,
,"""As-built"" architectural plans and specifications.",,
,,,
,"Existing title policies (together with any endorsements (the ""Title Policies"")",,
,All exceptions to coverage noted on the Title Policies,,"All exceptions to coverage noted on the Title Policies, and copies of all other documents and agreements affecting the Property, including, without limitation, copies of all mortgages and deeds of trust, financing statements of record, leases, memorandums of leases, non-disturbance agreements, easements, covenants, restrictions, encumbrances and other documents and/or instruments evidencing security interests, liens or encumbrances."
,"Inventory of all furniture, fixtures and equipment",,"Inventory of all furniture, fixtures and equipment (including inventory of any artwork, antiques, objects of art) located on or used in connection with the Property and belonging to Seller. Please provide a list of corresponding equipment warranties and maintenance agreements."
,"List of automobiles, trucks and other registered equipment",,"List of automobiles, trucks and other registered equipment to be conveyed, if any, giving a brief description of equipment and lease provisions (if any)"
Documents Relating to Seller,,,Copies of the following documents relating to Seller [and [NAME OF MEMBERS WITH OWNERSHIP INTERESTS IN SELLER]'s interests in Seller]
,"Agreement, as amended and restated to date (the ""Agreement"")",,
,Seller Certificate of Formation/Articles of Organization/Articles of Incorporation,,"As amended and restated to date (and any assumed name of ""d/b/a"" filing related to Seller) "
,Certificate of Good Standing ,,
,Manager Entity Agreement,,"As amended and restated to dated (the ""Manager Entity Agreement"")"
,Manager/General Partner Certificate of Formation/Articles of Organization/Articles of Incorporation,,"As amended and restated to date (and any assumed name of ""d/b/a"" filing related to Manager/General Partnership Entity)"
,Manager/Genernal Partner Certificate of Good Standing,,
,Schedule of all interests of Seller,,"Schedule of all [corporate/membership/partnership] interests of Seller, and to the extent applicable the ownership interests of any Seller [shareholders/members/partners] that are entities and not individuals."
Leases and Other Agreements,,,Copies of the following documents relating to leases and other agreements with respect to the Property and any other property owned or leased by Seller in connection with the Property
