Legal Due Diligence,Diligence,,
,,,
Stage:,Task:  ,Folder:,Description:
Corporate Records & Organizations,,,
,Certificate of Good Standing,,Certificate of Good Standing (or equivalent document) for all states in which Company is qualified to do business.
,Organizational Chart,,Legal entity organizational chart.
,Meeting Minutes for BOD,,Copies of all minutes of meetings of the board of directors or actions by written consent in the last five years.  Copies of all minutes of meetings of shareholders or actions by written consent in the last five years.
,,Board Meeting Minutes,
,,Shareholders Meeting Minutes,
,"Articles, Certificate of Incorporation & Bylaws",,Articles or Certificate of Incorporation (or other organizational or governing documents) and all amendments to date and Bylaws (or comparable organizational documents) and all amendments to date.
,Agreements Relating to Partnership,,"Agreements relating to partnership, joint venture affiliations or other similar written or oral arrangements to which Company is a party or to which Company is contemplated to become a party."
,Indemnification Agreements,,"Copies of any indemnification agreements with directors, officers or others."
,Management Organization Chart,,Management organization chart.
,"Warrant, Subscription, Voting, Voting Trust, Shareholders', Registration and Other Agreements",,"Copies of all warrant, subscription, voting, voting trust, shareholders', registration and other agreements to which Company is subject or to which the securities of Company are subject."
,Agreements Restricting Issuance or Resale of Company Assets,,"Any agreements restricting the issuance or resale of any of the Company's assets or capital stock, including ""buy-sell"" agreements, rights of first refusal, first offer or similar preferential rights."
,Agreements Relating to the Sale or Purchase by the Company,,Any other agreements relating to the sale or purchase by the Company or any of its shareholders of any of its securities.
,Loans and Other Arrangements,,"List of all loans or other arrangements (including guaranty and indemnification arrangements) between the Company and any of its officers, shareholders, directors or employees."
,Interests,,"List of all interests which the Company's officers, directors or shareholders have in customer or vendor businesses."
,Materials Distributed to Shareholders or BOD,,Copies of all materials distributed to shareholders or the board of directors of the Company during the past five years.
,Stock Records & Stock Certificates,,Stock records and copies of stock certificates of the Company.
,Officers & Directors,,List of officers and directors of the Company.
,Jurisdictions,,"A list of the jurisdictions (i.e., U.S. states or foreign jurisdictions) in which the Company or any subsidiary: (a) owns or leases property, (b) has employees, (c) manufactures any product, (d) is authorized or qualified to do business as a foreign corporation, or (e) files tax returns. Please provide: (a) a brief summary of each of the Company’s and each subsidiary’s activities in those jurisdictions, and (b) copies of all documents and information filed by the Company and each subsidiary with the respective jurisdiction’s corporate commissioner/licensing authority."
,"States, if any, in which the Company & Subsidiaries are Not Qualified to do Business",,"List of states, if any, in which the Company and subsidiaries are not qualified to do business and do not file tax returns but in which it maintains an office, a stock of goods, sale personal or agents, service personnel, contracting officer or sells goods on consignment. Please provide: (a) a brief summary of each of the Company’s and each subsidiary’s activities in those jurisdictions, and (b) copies of all documents and information filed by the Company and each subsidiary with the respective jurisdiction’s corporate commissioner/licensing authority."
,Subsidiaries ,,"A list of all subsidiaries of the Company and all corporations, partnerships, limited liability companies, associations, joint ventures and other business entities in which the Company owns, directly or indirectly, an interest or any shares of capital stock. Such list shall include the number of shares, if applicable, and the percentage ownership of the Company in each such entity."
,Business Names,,"List of any assumed, fictitious or other business names which the Company and each subsidiary has used to conduct business within the last five years."
,Record and Beneficial Stockholders,,"List of the record and beneficial stockholders, giving name and address of each stockholder of the Company and each subsidiary and the name and address of any voting trustees and the number of shares owned by such stockholder or trust."
,Schedule of Contingent or Other Obligations,,A schedule of any contingent or other obligations (such as appraisal rights) relating to any shares of capital stock or other securities of any class of the Company or any subsidiary.
Legal Matters,,,Legal Matters
,Franchise Agreements & all Amendments,,"Copy of any franchise agreements, with all amendments."
,"Description of Nature of Operations of Company & each Subsidiary, Leading Products & Product Lines",,"Brief description of nature of operations of Company and each subsidiary and leading products and product lines accounted for by each, including dollar and percentage amount of sales, gross profits, attributable to each over the past five years."
,Major Customers of the Company or any Subsidiary ,,List of major customers of the Company or any subsidiary and sales to each such customer during the last two (2) full calendar years and the current calendar year.
,Material Supplier Contracts,,Copies of all material supplier contracts.
,Vendors,,List of all vendors.
,Forms of Agreements ,,Copies of all forms of agreements with customers.
,Non-Disclosure Agreements with Third Parties,,Copies of all non-disclosure agreements with third parties.
,"Non-Compete Agreements, Etc.",,"Copies of all agreements containing restrictive covenants applicable to the Company or any of its employees, officers, directors, representatives or agents – copies of non-compete agreements, etc."
,Agreements (other than routine purchase orders),,"Copies of all agreements (other than routine purchase orders) or other commitments involving material acquisitions and dispositions, including, but not limited to, joint ventures, mergers, stock purchases or sales and acquisitions or sales of material assets."
,"Material Agreements, Understandings or Arrangements with Employees or Consultants",,"Copies of all material agreements, understandings or arrangements with employees or consultants, contract employees and independent contracts, including employment and consulting agreements, employment offer letters or letters of understanding, sales commission plans and/or sales bonus arrangements."
,"Agreements Containing ""Change of Control"" or Similar Provisions",,"Copies of any agreements containing ""change of control"" or similar provisions."
,Real Property Interests,,"Real Estate: List of all real property interests (owned or leased), including:"
,Leases,,All leases for office and storage premises;
,Land Purchase Agreements,,Land purchase agreements;
,"Appraisals, Surveys, Deeds, Title Work Documents, Tile Insurance Policies, Land Purchase Agreements, Environmental Assessments",,"Copies of all: Appraisals, Surveys, Deeds, Title work documents, Title insurance policies, Land purchase agreements, Environmental assessments"
,Personal Property,,Copies of all personal property leases and maintenance agreements.
,Equipment Leases,,Equipment leases.
,Operating Lease Summary,,Summary of operating lease commitments and copies of all leases.
,Service Agreements,,Service agreements.
,Software Licenses,,Copies of all software licenses.
,"Standard Contracts, Invoices & Purchase Orders",,"Copies of all standard contracts, including invoices and purchase orders."
,Licensing Arrangements,,Description of all licensing arrangements and copies of all relevant documents and agreements.
,Material Marketing Agreements & Co-Op Advertising Agreements,,"Copies of material marketing agreements or description of marketing arrangements, including co-op advertising agreements and arrangements."
,Agreements between the Company and its Officers & Directors,,Copies or descriptions of all agreements between the Company and any of its officers or directors.
,Other Agreements,,All other agreements material to the operations of the Company or outside the ordinary course of business.
,Material Warranties & Guarantees,,Forms of material warranties and guarantees for products or services offered by the Company.
,Schedule of Territorial Contracts ,,"A schedule of all contracts with the United States, any foreign government or the government of any state or territory thereof, any agency, department or body thereof (the ""Government""), or any prime contractor or any upper tier subcontractor relating to a program in which the Government is a party, together with copies of such contracts and all related documentation."
,Material Commitments,,Listing of any material commitments not otherwise disclosed.
,Architectural Plans & Production Model Plans,,Copies of all architectural plans and production model plans (prints).
,Agreements with Underwriters,,Copies of all agreements with underwriters.
,Filings with the Securities & Exchange Commission ,,Copies of all filings with the Securities and Exchange Commission and comparable state securities agencies during the past 5 years.
,Disclosures (except as filed with the SEC),,"Except as filed with the SEC, all disclosure, including, but not limited to, offering memoranda, private placement memoranda, offering circulars, subscription, placement or purchase agreements (and related closing documents or correspondence) in connection with any debt and equity offerings (or other financing arrangement) involving the Company or any subsidiary since inception."
Financial Arrangements,,,Financial Arrangements
,Off-Balance Sheet Financing Arrangements,,Description of off-balance sheet financing arrangements and copies of any relevant documents.
,Financing Agreements,,Financing Agreements.
,,Notes,"Copies of all notes, debt instruments, pledges, security agreements, mortgages, letters of credit, loan agreements (long-term and short-term), deeds of trust, and revolving credit agreements executed by the Company and all agreements, documents or instruments related thereto."
,,Loan Agreements,"Copies of all loan agreements and related documents between Company and any employee, shareholder, consultant, subsidiary or agent of Company."
,,Compliance Certificates,"The latest compliance certificates as to covenants or restrictions thereunder relating to all indentures, credit agreements or any other agreements evidencing material financing arrangements of the Company or any subsidiary"
,Agreements Constituting Contingent Financial Obligations,,"All agreements constituting contingent financial obligations, including guarantees of third party indebtedness, net worth or similar maintenance obligations."
,Company Lines of Credit,,All letters or agreements confirming any Company lines of credit.
,Correspondence with Lenders of the Company,,"All significant correspondence with lenders of the Company, including all compliance reports or similar documents submitted by the Company or its independent public accountants."
,Notes & Debentures ,,"All notes and debentures issued to shareholders, employees, officers or directors of the Company or issued by any such person to the Company."
,Deposits or Escrows,,Description of deposits or escrows held by or affecting the Company.
,Material Bonds & Sureties,,Documentation regarding all material bonds and sureties of third party obligations.
,"Security Agreements, Mortgages or Liens",,"Documentation regarding all security agreements, mortgages or other liens on any real or personal property of the Company."
,Company Performance Guarantees,,Documentation regarding all Company performance guarantees.
,Promissory Notes or Other Debt Instruments,,All promissory notes or other debt instruments held by the Company and related documentation.
,Letters of Credit,,Documentation regarding all letters of credit where the Company is beneficiary or account party.
,Securities Offering Documents,,"All securities offering documents, including private placement memoranda and closing documents for the last five years."
,Financial Information (including due diligence reports),,"Any financial information (including due diligence reports) regarding any business acquired, or under contract to be acquired, during the last five years."
,Bank Accounts & Safe Deposit Boxes,,"List of all bank accounts (and safe deposit boxes) showing location, approximate average balances and authorized signatories."
Litigation,,,
,Pending or Threatened Litigation,,"Description of any pending or threatened litigation, outstanding lawsuits or other claims and copies of all pleadings, motions and other filings related thereto."
,Pending or Threatened Administrative Actions or Proceedings,,"Description of any pending or threatened administrative actions or proceedings and copies of all pleadings, motions and other filings related thereto."
,Environmental Issues,,"List of any environmental issues, including any notification by governmental agencies."
,"Consent Decrees, Injunctions & Other Orders",,"List of consent decrees, injunctions and other orders having a continuing effect on the Company or its operations and copies of all documentation with respect thereto."
,Litigation or Proceedings ,,"List of all litigation or proceedings involving or affecting the Company which have been settled, resolved or decided in the last five years, including a description of the final outcome of the litigation or proceedings."
,"Regulatory Notices, Reports, Citations or Requests",,"Copies of any regulatory notices, reports, citations or requests received by the Company and not provided pursuant to any other section of this request."
,Auditors Inquiry Letters,,Auditors' inquiry letters to counsel for the Company and corresponding replies of counsel since 2001.
,"Bankruptcy, Criminal or Other Judicial Proceedings",,"Description of bankruptcy, criminal or other judicial proceedings completed, pending or threatened since 2001 involving the Company or any of the Company's officers, directors or persons nominated to those positions."
,Documentation Regarding Internal Investigations,,Copies of all documentation regarding internal investigations conducted by the Company.
,Nature & Amount of Contingent Liabilities ,,"Description of nature and amount of any other contingent liabilities of $25,000.00 or more."
"Federal, State & Local Tax Authorities",,,
,Filings,,"All filings, including income, property, real estate, employment and sales/use tax returns, and correspondence with federal, state, and local tax authorities from January 1, 2001 to present."
,Outstanding Federal & State Tax Audits,,"List and description of the status of any outstanding federal and state tax audits, and copies of all audit materials."
,Correspondence Regarding Tax Matters,,"All correspondence, memoranda, etc., in-house and with accountants and attorneys, regarding all tax matters."
,Property Tax Assessments,,Copies of property tax assessments.
,Payroll Tax Returns,,Copies of payroll tax returns filed for the past year.
,Tax Sharing Agreement,,Any tax sharing agreement to which the Company or any subsidiary is a party.
,Internally or Externally Prepared Memoranda or Correspondence Regarding Audit or Litigation,,"Detailed information, including copies of any relevant internally or externally prepared memoranda or correspondence, concerning any claim asserted in audit, litigation or otherwise against the Company or any subsidiary by any taxing authority, including any proceedings currently in process or likely to be undertaken before any taxing authority."
,Net Operating Losses & Built-In Losses,,"Detailed information concerning the magnitude of any net operating losses (""NOLs"") and “built-in losses” of the Company or any subsidiary, including the expiration date of such NOLs, whether any such NOLs or built-in losses are subject to a limitation on their utilization (including under section 382 or the ""separate return limitation year"" rules), and the magnitude of any changes in the ownership of the Company or any subsidiary by 5% stockholders under section 382."
,"Private Letter Rulings, Tax Opinions or Memoranda Relating to the Tax Effect of Any Change in Structure or Ownership",,"Detailed information (including copies of any private letter rulings, tax opinions, or memoranda) relating to (i) the tax effect of any change in structure or ownership of the Company or any subsidiary, (ii) any transaction, reporting position or other matter involving a potential tax liability in excess of $10,000, or (iii) any techniques used to raise debt and/or equity capital, including financial products, derivatives, or other structures, other than conventional common stock, preferred stock and non-convertible debt instruments."
,"Deferred Income, Losses or Deductions",,"The amount and a description of any deferred income, losses or deductions of the Company or any subsidiary, and the amount of any excess loss accounts that exist for federal and/or state or foreign purposes."
,"Non-Income Tax Returns, Reports or Payments",,"A list of any non-income tax returns, reports or payments of the Company or any subsidiary with respect to any of the last 10 years (or such shorter period from the date the Company or any such subsidiary was formed) that have not been filed or made in a timely manner."
,Form 2553,,Copies of Form 2553 filed with the IRS and IRS grant of S Corporation status.
Government Regulatory Compliance,,,
,"Permits, Approvals, Licenses, Certifications or Governmental Consents for any Governmental Authority",,"All permits, approvals, licenses, certifications or governmental consents from any governmental authority. All correspondence with, reports of or to, filings with, or other material information with respect to any federal, state, or local regulatory bodies exercising authority with respect to the Company."
,"Notifications, Submissions or Flings made to any Governmental Agency",,"Copies of all notifications, submissions, or filings made to any governmental agency or third party respecting the presence, release, or emission of any hazardous material or substance."
,"Environmental Permits, Permit Applications and any Environmental Citations, Certifications, Licenses, Notices or Requests",,"Copies of all environmental permits and permit applications and any environmental citations, certifications, licenses, notices, or requests involving the Company and any environmental regulatory authority."
,Regulatory Compliance,,Copies of any correspondence regarding regulatory compliance.
,"Historic, Pending or Threatened Litigation or Other Proceedings",,"Description of historic or pending or threatened litigation or other proceedings or actions related to environmental compliance or occupational health and safety compliance and copies of all pleadings, motions, correspondence and settlement agreements related thereto."
,Environmental Reserves (if any),,"Status and composition of environmental reserves, if any."
,Potential Environmental Issues,,Description of efforts to investigate potential environmental issues.
,Potential Remediation Cost,,Estimates as to the cost of potential remediation.
,Reserves,,Reserves
,"Environmental Reports, Environmental Compliance Audits, Environmental Insurance Investigations, Asbestos Surveys & Studies of the Subsurface or Hydrogeological Region",,"Copies of any environmental reports, including Phase I and Phase II reports, environmental compliance audits, environmental insurance investigations, asbestos surveys and any studies of the subsurface or hydrogeological region beneath any property of the Company, including any studies or reports obtained in conjunction with the purchase, sale or leasing of any property of the Company."
