M&A Due Diligence Request List (Slim),Diligence,M&A,
,,,
STAGE:,TASK:,FOLDER:,DESCRIPTION:
Corporate Records,,,
,,,
,Charter Documents & By-laws,,Copies of the Company’s charter documents and By-Laws and all amendments thereto. 
,,,
,Meeting Minutes,," Copies of the minutes of all meetings (and actions by written consent) of the Board of Directors and any committees of the Board of Directors, and stockholders of the Company. "
,,Board Meeting Minutes,
,,Directors Meeting Minutes,
,Subsidiaries,,A list of all direct or indirect subsidiaries of the Company.
,,,
,Contracts Relating to Securities ,,"Copies of all contracts relating to securities of the Company to which the Company is a party, including, without limitation, warrants, debentures, notes, convertible securities, options, purchase agreements and indentures. "
,,,
,Documents Pertaining to Securities,,"Copies of all documents pertaining to any pre-emptive rights, rights of first refusal, registration rights, rights of co-sale or similar rights outstanding with respect to any securities of the Company."
,,,
,Stockholder's Agreements,,"Copies of all stockholders’ agreements, stock restriction agreements, buy/sell agreements, voting trusts or other similar arrangements relating to the voting and/or transfer of capital stock. "
,,,
,Stock Books,,"Copies of all stock books of the Company, including stock transfer ledgers, specimens of all securities of the Company presently outstanding (including options, warrants, and other rights) and a stockholder list with the number of shares or securities outstanding as of the date hereof, dates of issuance, exemption(s) relied on and addresses of record and beneficial owners."
,,,
,Jurisdictions,,"A list of all domestic and foreign jurisdictions in which the Company is qualified to transact business and all jurisdictions in which the Company actually conducts business, leases property or retains employees."
,,,
,Business Names,,A list of active fictitious business names and copies of all filings concerning such names.
,,,
,Business & Personal Relationships,,"A summary of business and personal relationships and affiliations among directors, officers, stockholders, creditors, customers, suppliers and other business affiliations of the Company."
,,,
Governmental Filings; Permits,,,
,,,
,"Licenses, Permits, Consents, Approvals, Certifications, Authorizations, Registrations & Filings ",,"A list or copies of all licenses, permits, consents, approvals, certifications, authorizations, registrations, and filings from, with, or to any federal, state, or local governmental authority relating to the Company.  Please indicate which of those items expire, require a new application, consent or notification upon change of control."
,,,
,Reports,,"Copies of all reports filed and significant correspondence with any local, state, or national regulatory agencies by the Company since inception."
,,,
,Correspondence,,"Copies of all material correspondence, if any, with federal, state, local or similar regulatory authorities or agencies by which the Company is regulated."
,,,
,Violation or Infringement ,,"Copies of all reports, notices or correspondence relating to any violation or infringement by the Company of federal, state or local government regulations, including, but not limited to, the areas of fair trade, products liability, environmental regulation, import administration, equal employment opportunity, and occupational safety and health, and copies of all other material correspondence with federal, state or local regulatory agencies."
,,,
Financings,,,
,,,
,Borrowings,,"Copies of all documents and agreements evidencing borrowings by the Company which are currently outstanding, whether secured or unsecured, including without limitation, loan and credit agreements, promissory notes and other evidences of indebtedness, all guarantees of indebtedness or other obligations of or by the Company and all indentures, mortgages or security agreements, including, without limitation, any such agreement with any officers, directors, or stockholders of the Company or their affiliates. "
,,,
,Outstanding Letters of Credit,,Copies of all outstanding letters of credit. 
,,,
,Bank Letters or Agreements Confirming Lines of Credit,,Copies of all bank letters or agreements confirming lines of credit. 
,,,
,Letters of Consent or Waiver from Lending Institutions,,Copies of all letters of consent or waiver from lending institutions required for borrowings obtained by the Company since inception. 
,,,
,Other Material Financing Arrangements,,"Copies of all documents and agreements evidencing other material financing arrangements including sale and leaseback arrangements, installment purchases, capital leases, etc."
,Private Placement or Selling Memoranda,,Copies of all private placement or selling memoranda prepared and/or used by the Company since inception. 
,,,
Employment Matters and Benefits,,,
,,,
,"Employment Contracts, Consulting Agreements, Non-disclosure, Inventions or Non-compete Agreements, Severance or Similar Agreements",,"Copies of all employment contracts, consulting agreements, non-disclosure, inventions or non-compete agreements, severance or similar agreements to which the Company is a party. "
,,,
,Employee/Management Compensation,,"Copies of all bonus, severance, savings, stock purchase, stock appreciation rights, stock option, pension, profit sharing, deferred compensation, employee or management compensation, incentive and other similar plans currently in effect and drafts of any similar proposed plans."
,,,
,Vesting Schedules,,"Summary of vesting schedules of any stock or options subject to repurchase or vesting, as applicable. "
,,,
